geo,id
GSM31819,UR558
GSM31820,UR590
GSM31821,UR496
GSM31822,UR531
GSM31823,UR591
GSM31824,UR261
GSM31825,UR437
GSM31826,UR534
GSM31827,UR354
GSM31828,UR394
GSM31829,UR514
GSM31830,UR523
GSM31831,UR540
GSM31832,UR240
GSM31833,UR530
GSM31834,UR516
GSM31835,UR396
GSM31836,UR581
GSM31837,UR404
GSM31838,UR151
GSM31839,UR343
GSM31840,UR254
GSM31841,UR556
GSM31842,UR461
GSM31843,UR286
GSM31844,UR520
GSM31845,UR467
GSM31846,UR250
GSM31847,UR477
GSM31848,UR367
GSM31849,UR263
GSM31850,UR479
GSM31851,UR179
GSM31852,UR119
GSM31853,UR325
GSM31854,UR468
GSM31882,UR356
GSM31883,UR498
GSM31884,UR438
GSM31885,UR445
GSM31886,UR351
GSM31887,UR524
GSM31888,UR361
GSM31889,UR449
GSM31890,UR044
GSM31891,UR106
GSM31892,UR515
GSM31893,UR456
GSM31894,UR487
GSM31895,UR546
GSM31896,UR376
GSM31897,UR357
GSM31898,UR372
GSM31899,UR482
GSM31900,UR506
GSM31901,UR500
GSM31902,UR419
GSM31903,UR256
GSM31904,UR353
GSM31905,UR503
GSM31906,UR465
GSM31907,UR383
GSM31908,UR405
GSM31909,UR406
GSM31910,UR435
GSM31911,UR446
GSM31912,UR463
GSM31913,UR539
GSM31914,UR403
GSM31915,UR497
GSM31917,UR513
GSM31918,UR507
GSM31919,UR509
GSM31920,UR441
GSM31921,UR485
GSM31922,UR350
GSM31923,UR448
GSM31924,UR552
GSM31925,UR554
GSM31926,UR553
